,lg,rest,depth,store_loc,store_status,rtv_loc,rtv_status
_20_3,2805,3195,2,3m0,EMPTY,3m0,EMPTY
_21_3,2975,3025,2,3m0,EMPTY,3m0,EMPTY
_22_3,3005,2995,2,2m5,EMPTY,3m5,EMPTY
_23_3,3015,2985,2,2m5,EMPTY,3m5,EMPTY
_24_3,3115,2885,2,2m5,EMPTY,3m5,EMPTY
_25_3,3295,2705,2,2m5,EMPTY,3m5,EMPTY
_26_3,3410,2590,2,2m5,EMPTY,3m5,EMPTY
_27_3,3450,2550,2,2m5,EMPTY,3m5,EMPTY
_28_3,3485,2515,2,2m5,EMPTY,3m5,EMPTY
_29_3,3530,2470,2,2m0,EMPTY,,
_3_30,3560,2440,2,2m0,EMPTY,,
_3_31,3565,2435,2,2m0,EMPTY,,
_3_32,3695,2305,2,2m0,EMPTY,,
_3_33,4080,1920,2,1m5,EMPTY,,
_3_34,4330,1670,2,1m5,EMPTY,,
_3_35,4340,1660,2,1m5,EMPTY,,
_3_36,4380,1620,2,1m5,EMPTY,,
_3_37,4415,1585,2,1m5,EMPTY,,
_3_38,4560,1440,2,1m0,EMPTY,,
_3_39,4585,1415,2,1m0,EMPTY,,
_3_40,4880,1120,2,1m0,EMPTY,,
_3_41,4935,1065,2,1m0,EMPTY,,
_3_42,4985,1015,2,1m0,EMPTY,,
_3_43,5025,975,2,,,,
_3_44,5135,865,2,,,,
_3_45,5165,835,2,,,,
_3_46,5165,835,2,,,,
_3_47,5210,790,2,,,,
_3_48,5210,790,2,,,,
_3_49,5260,740,2,,,,
_3_50,5325,675,2,,,,
_3_51,5335,665,2,,,,
_3_52,5440,560,2,,,,
_3_53,5495,505,2,,,,
_3_54,5530,470,2,,,,
_3_55,5530,470,2,,,,
_3_56,5535,465,2,,,,
_3_57,5555,445,2,,,,
_3_58,5555,445,2,,,,
_3_59,5570,430,2,,,,
_3_60,5570,430,2,,,,
_3_61,5570,430,2,,,,
_3_62,5615,385,2,,,,
_3_63,5705,295,2,,,,
_3_64,5715,285,2,,,,
_3_65,5800,200,2,,,,
_3_66,5860,140,2,,,,
_3_67,5860,140,2,,,,
_3_68,5860,140,2,,,,
_3_69,5860,140,2,,,,
_3_70,5860,140,2,,,,
_3_71,5860,140,2,,,,
_3_72,5860,140,2,,,,
_3_73,5860,140,2,,,,
_3_74,5860,140,2,,,,
_4_5,1960,4040,2,,,2m0,EMPTY
_4_6,1960,4040,2,,,2m0,EMPTY
_4_7,1980,4020,2,,,2m0,EMPTY
_4_8,2060,3940,2,3m5,EMPTY,2m5,EMPTY
_4_9,2285,3715,2,3m5,EMPTY,2m5,EMPTY
_10_4,2435,3565,2,3m5,EMPTY,2m5,EMPTY
_11_4,2435,3565,2,3m5,EMPTY,2m5,EMPTY
_12_4,2435,3565,2,3m5,EMPTY,2m5,EMPTY
_13_4,2435,3565,2,3m5,EMPTY,2m5,EMPTY
_14_4,2435,3565,2,3m5,EMPTY,2m5,EMPTY
_15_4,2435,3565,2,3m5,EMPTY,2m5,EMPTY
_16_4,2440,3560,2,3m5,EMPTY,2m5,EMPTY
_17_4,2595,3405,2,3m0,EMPTY,3m0,EMPTY
_18_4,2605,3395,2,3m0,EMPTY,3m0,EMPTY
_19_4,2720,3280,2,3m0,EMPTY,3m0,EMPTY
_20_4,2805,3195,2,3m0,EMPTY,3m0,EMPTY
