mini,maxi,qtt,status,name,day,seq_name
1500,2000,0,EMPTY,1m5,12,8m
2000,2500,2,CRIT_EMPTY,2m0,12,8m
2500,3000,5,CRIT_EMPTY,2m5,12,8m
3000,3500,2,CRIT_EMPTY,3m0,12,8m
3500,4000,2,CRIT_EMPTY,3m5,12,8m
1000,1500,25,FULL,1m0,12,7m
1500,2000,12,OPEN,1m5,12,7m
2000,2500,15,OPEN,2m0,12,7m
2500,3000,5,CRIT_EMPTY,2m5,12,7m
3000,3500,7,OPEN,3m0,12,7m
3500,4000,2,CRIT_EMPTY,3m5,12,7m
1000,1500,25,FULL,1m0,12,6m
1500,2000,9,OPEN,1m5,12,6m
2000,2500,18,OPEN,2m0,12,6m
2500,3000,4,CRIT_EMPTY,2m5,12,6m
3000,3500,2,CRIT_EMPTY,3m0,12,6m
3500,4000,0,EMPTY,3m5,12,6m
1000,1250,10,FULL,1m0,12,SS
1250,1500,9,CRIT_FULL,1m25,12,SS
1500,1750,7,OPEN,1m5,12,SS
1750,2000,6,OPEN,1m75,12,SS
2000,2250,7,OPEN,2m0,12,SS
2250,2500,4,OPEN,2m25,12,SS
2500,2750,3,OPEN,2m5,12,SS
2750,3000,0,EMPTY,2m75,12,SS
3000,3250,2,OPEN,3m0,12,SS
3250,3500,1,CRIT_EMPTY,3m25,12,SS
3500,3750,0,EMPTY,3m5,12,SS
3750,4000,0,EMPTY,3m75,12,SS
1000,1500,7,OPEN,1m0,13,8m
1500,2000,0,EMPTY,1m5,13,8m
2000,2500,4,CRIT_EMPTY,2m0,13,8m
2500,3000,3,CRIT_EMPTY,2m5,13,8m
3000,3500,0,EMPTY,3m0,13,8m
3500,4000,0,EMPTY,3m5,13,8m
1000,1500,25,FULL,1m0,13,7m
1500,2000,14,OPEN,1m5,13,7m
2000,2500,13,OPEN,2m0,13,7m
2500,3000,0,EMPTY,2m5,13,7m
3000,3500,2,CRIT_EMPTY,3m0,13,7m
3500,4000,0,EMPTY,3m5,13,7m
1000,1500,25,FULL,1m0,13,6m
1500,2000,3,CRIT_EMPTY,1m5,13,6m
2000,2500,17,OPEN,2m0,13,6m
2500,3000,1,CRIT_EMPTY,2m5,13,6m
3000,3500,11,OPEN,3m0,13,6m
3500,4000,0,EMPTY,3m5,13,6m
1000,1250,10,FULL,1m0,13,SS
1250,1500,9,CRIT_FULL,1m25,13,SS
1500,1750,0,EMPTY,1m5,13,SS
1750,2000,5,OPEN,1m75,13,SS
2000,2250,8,OPEN,2m0,13,SS
2250,2500,3,OPEN,2m25,13,SS
2500,2750,0,EMPTY,2m5,13,SS
2750,3000,1,CRIT_EMPTY,2m75,13,SS
3000,3250,0,EMPTY,3m0,13,SS
3250,3500,10,FULL,3m25,13,SS
3500,3750,0,EMPTY,3m5,13,SS
